id,home_id,amenity_id,room_id,quantity,location_details,minimum_threshold,supplier_id,purchase_link,purchase_price,last_restocked_date,notes,created_at,updated_at
a1648fcc-c664-42c1-9b2e-a8213b2451f6,156820af-1d5b-4589-97f7-9a892398ed96,0ede2aa6-ff85-4e77-8722-e13f0a7cdabf,\N,2,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.739+02,2025-08-26 18:46:55.74+02
16cf8c68-598d-405a-938a-58ddc929c6b5,156820af-1d5b-4589-97f7-9a892398ed96,1a2c3e15-4237-40c0-a53b-9e65e25f6944,\N,1,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.759+02,2025-08-26 18:46:55.759+02
58d80e84-f890-469b-8200-4800f15c756a,156820af-1d5b-4589-97f7-9a892398ed96,d16f2d1d-315c-4782-99cc-6ef3f26ec020,\N,1,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.762+02,2025-08-26 18:46:55.762+02
8450f695-ea1c-4f5a-befc-d01e85db4fb5,156820af-1d5b-4589-97f7-9a892398ed96,2903687d-22ca-46cf-9aa8-31cdbf0f6eb1,\N,2,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.765+02,2025-08-26 18:46:55.765+02
041b3e07-7c46-466f-a56f-0f226f23862c,156820af-1d5b-4589-97f7-9a892398ed96,6f6a899b-1f6c-44b4-8038-7706831c583c,\N,9,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.767+02,2025-08-26 18:46:55.767+02
8e3b417a-748b-45af-835b-d054049d807f,156820af-1d5b-4589-97f7-9a892398ed96,71e78c6b-a4af-4e85-aea1-9163eb2226d7,\N,2,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.77+02,2025-08-26 18:46:55.77+02
5afcdb11-a45b-4199-8e58-2b244520bb42,156820af-1d5b-4589-97f7-9a892398ed96,96e96db2-3556-4fbc-b8bd-087b665f83bd,\N,1,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.772+02,2025-08-26 18:46:55.772+02
f3c1f76c-f9d9-4d09-9ba6-8fd3f73a7400,156820af-1d5b-4589-97f7-9a892398ed96,4148491e-a6ad-44d2-84ff-fe2354dfd7da,\N,4,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.775+02,2025-08-26 18:46:55.775+02
1fe57c81-081c-41a0-8dfa-b9c514e846a5,156820af-1d5b-4589-97f7-9a892398ed96,5eb51aa5-3a51-42b1-ac32-51c71d0b337e,\N,1,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.776+02,2025-08-26 18:46:55.776+02
10d20ee0-9993-436d-9c68-c494da4654f7,156820af-1d5b-4589-97f7-9a892398ed96,ca8376c9-8c6c-44d2-9fd3-e53d45a4eebf,\N,1,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.778+02,2025-08-26 18:46:55.778+02
e034e000-b1eb-45ff-9ba5-ba80b3f345a3,156820af-1d5b-4589-97f7-9a892398ed96,b11f12f1-6051-4eed-9e4e-f2d65bbe74b9,\N,3,\N,\N,\N,\N,\N,\N,\N,2025-08-26 18:46:55.78+02,2025-08-26 18:46:55.78+02
